Question,Answer,Class
Comment faire un transfert avec Code Orange Money?,"1. Le client recharge son compte Orange Money 
2. Il tape #144#212# et suit les instructions 
3. Il tape le numéro du bénéficiaire ou le sien si ce dernier n’a pas de téléphone portable 
4. Puis, il saisit le montant qu’il souhaite transférer 
5. Enfin, il tape son code secret pour valider l’opération",Orange Money
Comment définir son numéro de fax pour la facturation en ligne?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 4 pour modifier vos options personnelles.
3°) Appuyez finalement sur 3 pour configurer vos options fax. 
4°) Appuyez sur 1 pour définir votre numéro de fax s’il n’existe pas (ou sur 2 pour le modifier s’il existe déjà).
Vous devez utiliser votre téléphone.",Offres mobiles
Comment vérifier si mon téléphone est compatible 4G ?,,Internet mobile
"Bonjour, je souhaite me désabonner au jeu MEGAWIN. Comment procéder?","Pour vous désabonner au jeu MEGAWIN, vous pouvez composer le #111#228# et suivre les instructions. 
Vous pouvez aussi vous rendre sur ce lien :  http://www.mes-abonnements-sng.com/ et cliquer sur l'onglet ""désabonnement"". Il ne reste alors plus qu'à suivre les instructions.
Et voilà, le tour est joué! :D",Offres mobiles
Comment faire pour se désabonner du service Dalal tones d’Orange ?,"Par USSD: #26028# et suivre les instructions
Par sms : Le client envoie KIT ou STOP au 26 0 28 pour se désinscrire
Par SVI : Le client appelle le 26028 et suit les instructions
Par Internet : en se connectant sur le site web dalal.orange.sn et en suivant les instructions .",Offres mobiles
Jamono New S'cool,,Offres mobiles
Comment acheter et se faire livrer un téléphone sur le Shop Orange de jumia.sn?,"1.Vous vous rendez sur le site de jumia www.jumia.sn et vous effectuez vos achats sur le shop Orange.
2.Vous choisissez le mode de paiement : à la livraison ou par Orange money ( suivre le parcours OM).
3.Vous créez votre compte jumia en mettant vos infos perso.
4.Vous recevez un appel d’Orange pour confirmer votre commande.
5.Vous recevez un appel de Jumia pour la livraison ( adresse et heure de livraison).
6.Enfin vous serez livré et vous paierez votre commande ( si paiement à la livraison).",Terminaux et applications
J'ai entendu parler des PASS internet VOYAGE ou ROAMING. Qu'est ce que c'est?,"Depuis le 19 Août 2016, Orange propose une nouvelle grille tarifaire sur le roaming et lance les Pass Voyage destinés, dans une première phase, uniquement aux clients prépayés et forfait bloqués mobile.
Les nouveaux tarifs roaming sont simplifiés et revus à la baisse. L’accent a été mis particulièrement sur l’internet mobile pour vous permettre de vous connecter à l’étranger sans stress !
De plus, la facturation se fera désormais par pays et non par Opérateur.
Les Pass Voyage sont des forfaits Voix et Sms et des forfaits Internet utilisables dans 4 zones à l’étranger :
-Orange Sahel : Guinée, Bissau, Mali, Niger et Côte d’Ivoire
-Orange Safari : Botswana, Cameroun, Centrafrique, RDC, Egypte, Guinée Equatoriale, Jordanie, Madagascar, Maurice, Maroc
-Orange Océan : Belgique, France, Luxembourg, Pologne et Espagne
-Pass Horizon : Italie et Emirats. 
Trois types de pass sont proposés, 10 000F, 20 000F et 40 000F, avec des godets et des durées de validité différents en fonction de la zone visitée.
Je vous rappelle que les pass Voyage sont également disponibles sur l’appli Orange et moi, sur www.orange.sn et www.orangebusiness.sn .
Pour souscrire aux pass voyage, Il suffit juste de taper #166# et suivre les instructions du menu pour choisir le forfait vois/sms ou le forfait Internet souhaité.
Le suivi conso est également disponible sur le #123# et le #1234#.",Internet mobile
Comment éteindre complètement l’écran de mon Samsung Galaxy S7 pour économiser ma batterie ?,"Pour éteindre  complètement l’écran du Samsung Galaxy S7 l faut :
Aller dans la liste des applications;
Cliquer sur Paramètres;
Cliquer sur Affichage;
Cliquer sur Always On Display;
Déplacer vers la gauche le bouton de l’option Always On Display afin de la désactiver.
L’écran sera désormais totalement éteint une fois le téléphone verrouillé.",Terminaux et applications
"Quelle est la différence entre vos offres ADSL Home, HOME PLUS ET KEURGUI?","Voici les 3 offres Wifi qui existent : Keurgui, Home et Home Plus. 
Toutes les 3 sont des abonnement ADSL, mais avec les offres Home et Home Plus, vous accédez gratuitement à la TV d'Orange. 
Je vous explique un peu la différence: 
>L'offre Keurgui: Frais d'accès: 35.000fr; redevance mensuelle 12.900F, débit 1 méga; 
>L'offre Home: Frais d'accès :  35.000f; redevance mensuelle 22.900F, débit 4 mégas; 
>L'offre Home+: Frais d'accès :  35.000f; redevance mensuelle 29.900F, débit 10 mégas;
Vous pouvez vous rendre sur ces liens pour avoir plus de détails : http://www.home.sn/ et https://www.orange.sn/2/particuliers/1/26/adsl-kheweul-223.html. Pour souscrire, il faut vous rapprocher d'une de nos agences muni de votre pièce d'identité et du numéro de téléphone fixe d'un de vos voisins proches.
Nos agences sont ouvertes du lundi au vendredi de 07H30 à 16H45 avec une pause de 13H30 à 15H uniquement les vendredis. 
Elles sont aussi ouvertes les samedis de 9H à midi à DAKAR.",Internet et fixe
Comment se désinscrire de Alerte actu ?,,Offres mobiles
J'ai entendu parler de votre offre Home (ADSL 4 MEGA). Quels sont ses avantages?,"Ci-dessous les avantages de l'offre Home (ADSL 2MEGA) :
>Accès au nouveau bouquet Orange
>Service Premium: contrôle du direct
>LiveBox 2 incluse
>ADSL 4 Mégamax
>Illimité vers 1 Mobile Orange
>Illimité Voix vers fixes Sonatel soir et Week-End
>3 Numéros fixes Sonatel  illimités 24/7
>Forfait bloqué voix de 10.000 CFA
>Possibilité de recharger votre crédit
Les frais de mise en service s'élèvent à 35.000fr et la redevance mensuelle à 22.900fr.",Internet et fixe
Quels sont les frais de retraits avec la carte Kalpé Orange Money au niveau des GAB?,"Il est important de savoir que les retraits GAB avec la carte KALPE débutent à partir de 5000Francs.
Voici donc les frais par palier :
>5 000 à 10 000 : 800 
>15 000 à 20000 : 1 000 
>25 000 à 35000 : 1 300 
>40 000 à 60000 : 1 450 
>65 000 à 100000 : 1 900 
>105 000 à 175000 : 2 500 
>180 000 à 200000 : 3 000 
>205 000 à 300000 : 4 000",Orange Money
Comment effectuer un achat de crédit via Orange Money?,"Pour achat de crédit  sur votre numéro:  #144#41*montant*code secret# 
Pour achat sur un autre numéro Orange ou KIRENE : #144#42*numéro*montant*code secret#",Orange Money
Comment faire pour consulter le solde crédit d’un compte Ipp (199XXXXXX@prepaid-orange.sn) ?,"Pour consulter gratuitement le solde de mon compte IPP pour mon abonnement pack ADSL Kheweul, il suffit de composer le #126#, puis de choisir l'option 1 qui correspond à la consultation.
Il faudra ensuite saisir votre numéro de compte à 9 chiffres (exemple: 199XXXXXX) et enfin valider pour avoir la réponse. :D",Internet et fixe
Quelle est la durée de validité du bonus offert à l'achat de mon pass internet via Orange Money?,Le bonus internet offert a la même durée de validité que le pass acheté. Ils expirent en même temps.,Orange Money
Paramétrage manuel de l'internet mobile sur un smartphone Android (version française),"<p><iframe src=""https://www.youtube.com/embed/1V7aCd0piMY?list=PLzR79kEz1u4Kx70xx3B6fHXPcWlbCExsB"" width=""560"" height=""315"" frameborder=""0""></iframe></p>",Tutoriel
Comment télécharger l’application Orange et moi?,"Vous voulez télécharger l'application Orange et moi?C'est très simple!
Si vous avez un téléphone android, assurez-vous d'être connecté à un réseau. Ouvrez ensuite l'application PlayStore, puis recherchez l'application Orange et moi et cliquez enfin sur télécharger. Une fois le téléchargement terminé, vous pourrez profiter pleinement de l'application Orange et moi.
Si vous disposez d'un téléphone à système IOS (iphone), vous respecterez le même principe sauf que vous téléchargerez l'application Orange et moi à partir de l'application AppStrore.",Offres mobiles
Comment faire pour retrouver mon téléphone volé?,Il faudra vous rendre à la police où la gendarmerie et faire une réquisition qu'il faudra déposer au niveau de notre siège sis à la VDN.,Offres mobiles
Le distributeur qui paie les factures des clients via Orange Money doit-il leur réclamer des frais?,"Oui le client doit supporter les mêmes frais que  s’il doit payer avec son compte Orange Money, à partir de son numéro, le paiement des factures Sonatel  et Orange Teranga reste gratuit
Par exemple:
Un client qui paye une facture de SENELEC ou SDE de  5 000 F doit remettre  au distributeur 5 250 F en espèces.",Orange Money
Le solde des Pass durée est-ce disponible sur menu #1234#?,"Oui, le solde restant des Pass durée est disponible sur l’option suivi conso.",Internet mobile
Je viens de recharger mon compteur WOYOFAL via Orange money mais je n'ai pas reçu le code par message.,"Rassurez-vous, le code peut vous être renvoyé. Il vous suffit juste de nous communiquer le numéro avec lequel le rechargement a été fait, le montant et la date sur notre page facebook ou sur tweeter (@supportorange) ou par mail (serviceclient@orange-sonatel.com) afin que nous puissions vous renvoyer le code! Easy non!? :D",Orange Money
"J’aimerais souscrire à un Pass durée via le #1234#, comment faire?","Il suffit d’aller sur l’option 1 du menu d’achat Pass et de choisir « Achat Pass jour » si vous voulez souscrire à un Pass jour, ou « Achat Pass semaine » si vous voulez acheter un Pass semaine.",Internet mobile
"A quoi correspondent le débit 1Méga, 2 Méga max ou 10Méga max sur les offres ADSL Entreprises?",Le mégabit (Mbit en abréviation) est une unité de mesure informatique correspondant à un million de bits. Un megabit par seconde correspond donc à un volume de données transmis en une seconde.,Internet et fixe
"Comment retrouver le suivi consommation du forfait de la nouvelle gamme teranga, les bonus, le rechargement?","C’est très simple.
 
>Pour les bloqués :
-Pour la voix, en faisant le #123# pour consulter le solde de votre compte, vous aurez  les informations suivantes :
Solde du crédit toutes destinations, qui totalise le solde de votre rechargement, bonus toutes destinations et forfait.
Ensuite, vous faites 0 pour voir le détails des compteurs:
Le solde de votre compte forfait,
Le solde de votre Forfait Bonus
Le solde de votre compte de rechargement,
Le solde de votre compte bonus toutes destinations.
-Pour l’internet, en faisant le #1234# pour consulter le solde de votre compte, vous aurez les informations suivantes :
Pass Volume
Suivi conso
Pré-requis
>Pour les ouverts :
La consultation des encours de consommation pour tous les usages se fait par appel au 601.",Offres mobiles
Configurer l'internet mobile sur Iphone?,"1-Aller au niveau des Réglages
2- Cliquer sur ""Réseau cellulaire""
3- Activer l'option ""Données cellulaires""
4- Activer l'option 3G""",Terminaux et applications
Les partenaires Orange Money,,Orange Money
Comment faire pour récupérer ma puce Orange en cas de perte?,"Eh bien pour récupérer votre puce perdue, il suffit juste de vous rendre au niveau de nos agences ou boutiques, muni de votre pièce d'identité et de 1.000fr.",Offres mobiles
Dans quels pays africains le service Orange Money est-il disponible?,"Le Service Orange Money est disponible dans 16 pays africains qui sont les suivants:
Botswana
Burkina Faso sous la marque Airtel Money
Cameroun
Côte d'Ivoire
Égypte
Guinée
Liberia sous la marque Smile Money
Madagascar
Mali
Maurice
Niger
République centrafricaine
République Démocratique du Congo
Sénégal
Sierra Leone sous la marque Airtel Money
Tunisie",Orange Money
"Comment écrire en Gras, italique, barré sur WhatsApp ?","Il est désormais possible d’ajouter du gras, de l’italique et du barré à un message. Voici comment écrire un « Salut » en gras, italique, barré sur WhatsApp :
* Salut * : pour le gras, il suffit de placer le mot entre deux *.
_ Salut _ : pour l’italique, il suffit de placer le mot en deux _.
~ Salut ~ : pour le barré, il suffit de placer le mot entre deux  ~ .",Terminaux et applications
Comment souscrire à l'offre FAMILY?,"Le parent se rend en agence avec sa pièce d’identité (et celles utilisées pour identifier les numéros de ses enfants). Si les enfants n’ont pas de numéros, il pourra leur en souscrire. Le numéro de l’enfant est Jamono New S’cool et celui du parent Jamono Allo ou Jamono Max.",Offres mobiles
Comment recevoir les consommations par fax en utilisant un fax?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 1 pour consulter votre consommation du mois indiqué.
3°) Appuyez finalement sur 4 pour recevoir le détail des consommations par fax.
 
Le serveur vous demande d’appuyer sur la touche envoi de votre appareil fax pour que le fax soit imprimé immédiatement.",Internet mobile
"Bonjour, je voulais savoir comment faire pour débloquer mon compte Orange Money.","Pour cela, il suffit de nous contacter sur notre page facebook ou sur tweeter (@supportorange) ou par mail (servceclient@orange-sonatel.com).
Nous pourrons alors faire le nécessaire dès réception de votre numéro et de la copie de votre pièce d'identité si vous êtes de nationalité sénégalaise.
Dans le cas échéant, nous aurons besoin d'une copie de votre passeport.",Orange Money
Comment activer les numéros favoris offerts avec mon abonnement internet ou fixe?,"C'est très simple!
Pour cela, il suffit de nous contacter sur notre page facebook ou sur tweeter (@supportorange) ou par mail (servceclient@orange-sonatel.com).
Nous pourrons alors faire le nécessaire dès réception de votre numéro,  des numéros favoris à activer et de la copie de votre pièce d'identité si vous êtes de nationalité sénégalaise. Dans le cas échéant, nous aurons besoin d'une copie de votre passeport.",Bienvenue
Qu’est-ce que vous proposez avec le programme d'échange de téléphone en agence?,"Depuis le 12 Avril, les clients ayant actuellement un téléphone 2G peuvent l’échanger contre un smartphone 3G au niveau des agences Orange. Le smartphone Pixi 3 3.5 pouces ou le iTel 1655 est remis au client en échange de son téléphone 2G + 9 900Fr.
Le téléphone remis doit être fonctionnel.
Un pass internet 1Go est offert sur le numéro du client en plus du nouveau smartphone.",Offres mobiles
"J'ai l'offre Keurgui Khéweul, comment dois-je faire pour que le débit soit augmenté à 4 mégas ?","Il faut faire une demande de migration vers Home.
En plus des 4 mégas, il y a d'autres avantages très intéressants.
Le lien : www.home.sn permet d'obtenir plus d'informations sur l'offre Home.",Internet et fixe
Comment connaitre le débit de ma connexion internet à de ma Livebox?,"Le débit que vous donnent les applications telles que speedtest ou autres n'est pas très fiable. Vous pouvez avoir votre débit réel à partir de votre livebox. Pour cela, il suffit de vous connecter en premier sur votre wifi et d'accéder à l'interface de configuration de votre livebox en tapant 192.168.1.1. Une fois connectée, on vous demandera certainement l'identifiant et le mot de passe d'administration : admin. Après cela, vous procéderai comme suit :                                                                                                                                 >Cliquer sur """"Assistance""""
>Cliquer sur """"Infos Systèmes""""
>Cliquer sur DSL
Vous pourrez alors avoir voir débit.",Tutoriel
"Je dispose d'une livebox, comment changer le mot de pass de mon wifi?","Vous voulez changer le mot de passe de  votre wifi?
Eh bien, il n'y a rien de plus simple. Rendez-vous sur ce lien pour connaitre pas à pas la démarche à suivre afin de changer le mot de passe de votre wifi : https://oran.ge/2hfpiIF . :D",Internet et fixe
Quels sont les débits accessibles avec l’Offre Home Fibre d’Orange ?,"Le débit vous maximum accessible via la fibre optique est de 30Mbit s/s en débit descendant (download) et 2Mbits/s en débit ascendant (upload). En téléchargement c’est donc un débit au moins 3 fois plus rapide qu’en  ADSL. De plus contrairement à l’ADSL où le débit est variable, la vitesse de connexion en fibre optique est constante.",Internet et fixe
Installation d’une clé 3G (Version française),"<p><iframe src=""https://www.youtube.com/embed/xFk0FNscjLE?list=PLzR79kEz1u4Kx70xx3B6fHXPcWlbCExsB"" width=""560"" height=""315"" frameborder=""0""></iframe></p>",Tutoriel
"Comment faire pour recevoir mes factures Orange, mobile comme fixe par mail?","Il faut faire la demande au service client en ligne sur facebook en cliquant sur ce lien https://www.facebook.com/orange.sn/?fref=ts ou par mail via l'adresse serviceclient@orange-sonatel.com , tout en prenant le soin de leur communiquer le numéro de ligne concernée  et  l'adresse email à laquelle vous souhaitez recevoir vos factures.",Bienvenue
Est-ce que la Flybox Entreprise est une offre internet illimitée ?,"Non, ce n’est pas une offre illimité, nous vous proposons pour chaque offre un Forfait spécifique et à l’épuisement vous pouvez acheter un Passd’appoint  de 5G ou 10G  via passorange.sn en rechargeant votre compte.",Internet mobile
Comment consulter le solde son compte si on reçoit de l’argent venant de la France sur son compte Orange Money?,"A partir du vendredi 18 Novembre 2016, les clients Orange Money ont la possibilité recevoir des transferts d’argent provenant de la France sur leur compte Orange Money. 
Il faut faire le #144#2*3# pour voir le solde de son compteur transfert international",Orange Money
Y’a-t-il un changement sur le bonus offert après des paiements et retraits via Orange Money ?,"Oui, il y’a un changement sur le bonus offert après les opérations de paiements et retraits via Orange Money: le bonus de 10% offert est maintenant plafonné à 2000Fr.",Orange Money
Comment se désinscrire de Blagues en 2 étapes !?,,Offres mobiles
Comment faire pour me désinscrire au jeu MEGAWIN à partir de mon téléphone?,"C'est très simple, il faudra juste envoyer STOP au 21800.",Offres mobiles
Les services internet « sos et seddo Pass internet » sont-ils toujours disponibles via le menu #1234#?,Tout à fait. Les services Sos Pass internet et Seddo Pass internet sont disponibles à l’option 2 du Menu #1234#.,Internet mobile
Comment activer ou désactiver la réception des messages d'Orange?,"Pour administrer la réception des messages d'Orange, il faut composer le #111 # et choisir l'option 5. Attention, si vous désactivez les messages d'Orange, vous ne recevrez plus les messages de promotion.",Entre nous
Comment faire un SOS Pass internet,"Pour souscrire c’est simple, il faut être d’abord éligible puis soit : 
Utiliser le code #1234# puis « mes services internet » 
Utiliser l’application Orange & moi puis « mes services internet », 
Utiliser le flash SOS Pass Internet qui vous proposera automatiquement un Pass auquel vous êtes éligible.",Internet mobile
Quels sont les avantages du profil Jamono New S’cool ?,"Ci-dessous les avantages du nouveau profil Jamono New S'cool :
•Illimix utilisable vers tout Orange avec plus d’internet
•Bonus Internet offert sur les achats Illimix faits avec les applis Orange et moi / Orange Money ou #144#, j’ai du bonus crédit
•1F/s et 5F/sms entre Jamono New S’cool",Offres mobiles
Comment vais-je recharger ma KeurguiBOX ORANGE?,"Vous pouvez acheter une carte de crédit et se connecter à www.passorange.sn pour recharger votre compte et acheter un Pass
Ou
Acheter un Pass Internet KeurguiBOX ORANGE directement via Orange Money
Les Pass disponibles sont :
1Go à 1 000F validité 3 jours
2,5Go à 2 500F  validité 7 jours 
10Go à 10 000F validité 30Jours
30Go à 20 000F validité 30Jours
50Go à 30 000F validité 30Jours",Internet et fixe
Quel est le parcours pour acheter mon pass via Orange Money en tant que client prépayé?,Nous vous invitons à vous rendre sur le #144# option 4 (achat de crédit téléphonique et pass).,Orange Money
Quelles chaines avez-vous rajoutées sur les bouquets CANAL ?,"7 nouvelles chaines sont rajoutées au bouquet Evasion+:
Tiji, National Geo Wild, Cine frisson, Cine star, 13eme rue, NBA TV et Dorcel.
L’accès à la chaine Dorcel est activé sur votre demande .",TV d'orange et contenus
Comment activer le service sauvegarde répertoire Orange ?,Vous pouvez activer le service en appuyant sur OK dans la notification d’alerte (pop-up) que vous recevez à l’enregistrement du 1er contact ou bien en envoyant sauve par SMS au 22022 ou encore par le menu Orange Services ou boites à outils  disponible sur votre téléphone.,Offres mobiles
Comment faire pour avoir des adresses mails avec l'extension @orange.sn ?,"Pour avoir des mails avec l'extension @orange.sn, il suffit juste de vous abonner à une offre internet Mega et plus  et de faire une demande pour les adresses mails.
Pour chaque abonnement vous aurez droit à 04 adresses mails @orange.sn",Internet et fixe
Quels sont les avantages du profil Jamono Allo ?,"Ci-dessous les avantages du nouveau profil Jamono Allo :
•Illimix utilisable 24h/24
•De nouveaux illimix pour communiquer plus longtemps
•Possibilité d’abonnement à Illimix semaine / Achat illimix directement par Orange Money
•Bonus crédit offert sur les achats Illimix faits avec les applis Orange et moi / Orange Money ou #144#, j’ai du bonus crédit.",Offres mobiles
Quelles sont les nouvelles formules Jamono ?,"Orange propose 3 formules : Jamono Allo, Jamono New S’cool et Jamono Max :
•Jamono Allo convient à ceux qui préfèrent plutôt téléphoner, mais qui commencent à s’intéresser à l’internet mobile
•Jamono New S’cool convient à ceux qui ont entre 15 et 30 ans, aiment internet, les réseaux sociaux, chater et parler avec leurs amis quelque soit leur formule Orange; avec des tarifs préférentiels entre eux :1F/s et 5F/SMS
•Jamono Max convient à ceux qui appellent beaucoup et utilisent tout autant internet.",Offres mobiles
Qu’est-ce que l’offre Orange Teranga ?,Orange Teranga est  une offre mobile postpayée qui vous permet de communiquer sans limitation de durée ou de destination (nationale et internationale),Offres mobiles
Comment configurer votre messagerie professionnelle sur votre iPhone ou votre iPad?,"Si vous disposez d’une messagerie professionnelle au sein de votre entreprise et que vous voulez y accéder à tout moment, voici comment la configurer sur votre iDevice iOS en 6 étapes :
1. Rendez-vous dans « Réglages » puis « Mail, contacts, calendrier » et cliquez sur « Ajouter un compte ». Sélectionnez « Microsoft Exchange».
2. Après avoir collecté les informations nécessaires, remplissez dans l’ordre :
- Adresse e-mail
- Mot de passe
- Description (Nom du compte)
Faire « suivant »
3. Si jamais vous ne connaissez pas ces informations, vous pouvez consulter votre service informatique ou votre fournisseur de Service Exchange afin de les récupérer.
4. Cliquez sur « Suivant » puis remplissez les  champs suivants :
- Adresse  « Serveur »  s’il n’est pas auto-complété.
- Domaine : (facultatif)
- Nom d’utilisateur
Cliquez  sur « Suivant ».
5. Choisissez le contenu que vous souhaitez synchroniser (Courrier, Contacts, Calendriers)
6. Votre compte de messagerie professionnelle est maintenant configuré et accessible via l’application « Mail » de votre iDevice.",Terminaux et applications
Concrètement comment ça fonctionne les nouvelles offres Teranga ?,"L’offre Teranga Initial : 
C’est un forfait bloqué, au 1er du mois le forfait et le forfait bonus sont automatiquement positionnés. Vos communications voix et sms sont déduites respectivement de vos compteurs bonus et forfait. La tarification des appels en national est de 1,9F HT flat par seconde. Votre numéro favori est gratuit quelque le solde de vos compteurs et modifiable une fois par mois. Vous avez la possibilité de recharger du crédit à tout moment et bénéficier des promos bonus. Vous pouvez souscrire aux illimix Jamono Max avec le montant rechargé. Le forfait est utilisable pour la voix et sms en roaming et le service est activé par défaut sur la ligne. Le forfait non consommé est reporté au mois suivant.  A l’épuisement du bonus et du forfait, vos communications sont déduites des compteurs rechargement. Pour l’internet, vous pouvez souscrire aux Forfaits Internet Bloqués ou acheter un pass volume via #1234#.
Pour le forfait First, les appels vers Orange mobile et fixe sont gratuits dans la limité de 150 numéros différends par mois.
L’offre Teranga Premium ouvert : 
C’est un forfait bundle ouvert (voix, sms et data). Au 1er du mois, le forfait et les compteurs bonus voix, data, sms sont automatiquement positionnés. Vos communications voix et sms sont déduites respectivement de vos compteurs bonus et forfait. La tarification des appels en national est de 1,9F HT flat par seconde. Vos connexion sont déduites du compteur data et vos sms du compteur sms. Votre numéro favori est gratuit quelque le solde de vos compteurs et modifiable une fois par mois. Le forfait est utilisable pour la voix, la data, les sms en roaming avec service activé sous condition de paiement d’une caution d’un montant de 200 000F TTC. Le forfait non consommé est reporté au mois suivant.  A l’épuisement du forfait, vous pouvez continuer à communiquer et le dépassement vous est facturé en plus, la grille tarifaire des communications reste la même que celle dans le Forfait. Pour le forfait XXL et First, les appels vers Orange mobile et fixe sont gratuits dans la limite de 150 numéros différents par mois.
L’offre Teranga Liberty :
C’est une ligne ouverte, vous communiquer à votre rythme et sans limite d’usage ou de destination. La tarification des appels en national est de 1F HT flat par seconde. Pour l’internet, vous pouvez souscrire en option aux forfaits internet ouverts ou bloqué. Pour le roaming, l’activation du service est soumis aux conditions de paiement d’une caution d’un montant égal à 200 000F TTC. A la fin du mois vous payez votre facture en fonction de ce que vous avez consommé.",Offres mobiles
Quels sont les frais d'envoi d'argent via Orange Money depuis la France?,"Ci-dessous les frais d'envoi d'argent via Orange Money  depuis la France :
Entre 0 et 99 Euros: 2 Euros soit 1310 FCFA,
Entre 100 et 250 Euros: 5 Euros soit 3275 FCFA,
Entre 251 et 4000 Euros: 8 Euros soit 5240 FCFA.",Orange Money
Quelle est la différence entre vos 3 nouvelles offres Teranga ?,">Teranga Initial est un forfait voix et sms exclusivement bloqué, l’offre n’existe pas en ouvert. L’offre permet une parfaite maitrise des coûts. Voici les caractéristiques:
5 forfaits bloqués voix/SMS (S, M, L, XL et First) 
Tarifs mensuels : de 4 900 à 119 900 F HT
Des bonus d’appels jusqu’à 200%
Un n° illimité vers Orange, à partir du forfait M
Un forfait illimité FIRST à partir de 99 900FHT / mois
Durée d’engagement minimale  : 12 ou 24 mois
Compatible avec les Forfaits internet mobile du catalogue, en option
>Teranga Premium embarque voix, data et sms avec possibilité de prendre un smartphone inclus. Le forfait Teranga Premium peut être bloqué pour la maitrise de coût ou ouvert pour ceux qui ont envi de liberté. Voici les caractéristiques:
6 forfaits au choix ouverts ou bloqués (S, M, L, XL, XXL et First)
Des forfaits bundles appel, SMS et data mobile avec ou sans  smartphone inclus, au choix du client
Tarifs mensuels : de 7 900 à 239 900 F HT
Deux forfaits illimités vers Orange à partir de 99 900FHT
Un n° illimité vers Orange sur tous les forfaits
Des bonus d’appel jusqu’à 150%
Durée d’engagement minimale  : 12 ou 24 mois
>Teranga Liberty est ligne ouverte qui permet de communiquer sans ni contraintes les destinations (nationales, internationales et en roaming) : appels voix, SMS/MMS, Internet mobile... 
Redevance mensuelle de 7 900F HT
Facturation en sus des communications en fin de mois.",Offres mobiles
Comment faire résilier un abonnement ADSL avec Orange?,"Alors la première chose à savoir c'est que vous ne pouvez pas résilier votre ligne fixe ainsi votre abonnement TV canal avant 1 an. Pour votre compte internet, le délai de résiliation est de 6 mois, conformément au contrat que vous avez signé.
Toutefois, ces mesures ne s'appliquent pas aux cas suivants : affectation dans une autre ville, déménagement, faillite, licenciement, décès, vous quittez définitivement le pays etc...
Une fois la première condition remplie, il faudra d'abord vous acquitter de toutes vos factures. Ne vous inquiétez pas, si le mois est en cours, vous serez facturé au prorata, sauf pour les abonnements Tv CANAL.
Vous devez ensuite vous rendre dans une agence Orange avec tout le matériel loué remis lors de l'abonnement (livebox, décodeurs etc.) ainsi que votre contrat original, une demande de résiliation et une copie de votre pièce d'identité ou passeport.
Si vous avez perdu votre contrat d'abonnement, un certificat de perte pourra vous être remis en agence.
Bien sûr, si vous ne pouvez pas vous déplacer, vous pouvez mandater la personne de votre choix en prenant le soin de lui remettre en plus des documents cités plus haut, une procuration signée. Le mandataire devra également se munir de sa pièce d'identité et de son passeport.",Internet et fixe
Combien coûte une opération de transfert ECOBANK OrangeMoney ?,,Orange Money
Comment changer le mot de passe Wi-Fi pour le partage de connexion de mon iphone?,"Voilà le procédé à suivre pour changer le mot de passe de partage de connexion de son iPhone.
-Sélectionner Réglage
-Sélectionner Partage de connexion
-Cliquer sur mot de passe Wi-Fi
-Entrer le mot de passe de son choix.
-Cliquer sur OK pour enregistrer
Facile non!? :-)",Entre nous
"Je souhaite m’abonner au bouquet Evasion+, quelle sera la redevance?",L’abonnement au bouquet Evasion+ est à 20.000Fr.,TV d'orange et contenus
Comment consulter le bonus reçu suite à une transaction effectuée via Orange Money?,"Eh bien c'est très simplement si on sait s'y prendre. Il faudra juste composer le #123#, choisir l'option 0 pour voir les détails puis l'option qui correspond au compteur bonus orange pour consulter ce bonus. Vous pourrez en même temps connaître la date de validité.",Orange Money
Est-ce que je dois payer un surplus pour avoir myCanal sur plusieurs écrans en même temps?,"Avec l’abonnement TOUT CANAL à 40.000F vous pouvez utiliser le service myCanal sur 3 écrans en simultané, les autres abonnés peuvent utiliser le service myCanal que sur un seul écran.",TV d'orange et contenus
J’ai une SIM 4G mais le réseau 4G ne s’affiche pas,"Pour avoir le réseau 4G, il vous faut un téléphone compatible 4G et être dans une zone couverte 4G. Ensuite il faut activer la 4G sur votre téléphone: Paramètres -> Réseau Mobile -> Mode réseau et choisir 4G ou LTE.",Internet mobile
Je ne veux pas de vos nouveaux profils : Jamono Allo/Jamono New S’cool/Jamono Max !,"Toutes les précédentes formules ont été remplacées par les trois nouvelles formules Jamono :
•Jamono Allo pour ceux qui préfèrent plutôt téléphoner, mais qui commencent à s’intéresser à l’internet mobile
•Jamono New S’cool pour ceux qui ont entre 15 et 30 ans, aiment internet, les réseaux sociaux, chater et parler avec leurs amis quelque soit leur formule Orange; avec des tarifs préférentiels entre eux :1F/s et 5F/s
•Jamono Max pour ceux qui appellent beaucoup et utilisent tout autant internet.
Vous pouvez choisir la formule qui vous convient le mieux avec l’appli Orange et Moi, le #605# : information sur les formules et changement de formule, ou en visitant le site TannSaJAmono.sn .",Offres mobiles
